ID,Title,Link,Published Date,Summary,Category
11,A 13-year-old dies after participating in a Benadryl TikTok 'challenge',https://www.cnn.com/2023/04/18/us/benadryl-tiktok-challenge-teen-death-wellness/index.html,2023-04-19 15:01:06,"A 13-year-old in Ohio has died after ""he took a bunch of Benadryl,"" trying a dangerous TikTok challenge that's circulating online, according to a CNN affiliate and a GoFundMe account from his family.",Others
12,See pizza delivery guy take out suspect fleeing police,https://www.cnn.com/videos/us/2023/04/18/pizza-guy-trips-perp-moos-cprog-orig-bdk.cnn,2023-04-18 16:40:22,"Pizza guy delivers more than a pie, taking out a fleeing suspect. CNN's Jeanne Moos shows him putting his best foot forward.",Others
13,Netflix is winding down its DVD business after 25 years,https://www.cnn.com/2023/04/18/media/netflix-dvd-red-envelopes/index.html,2023-04-18 20:10:51,Netflix is officially winding down the business that helped make it a household name.,Others
14,FTC chair Lina Khan warns AI could 'turbocharge' fraud and scams,https://www.cnn.com/2023/04/18/tech/lina-khan-ai-warning/index.html,2023-04-18 17:59:38,"Artificial intelligence tools such as ChatGPT could lead to a ""turbocharging"" of consumer harms including fraud and scams, and the US government has substantial authority to crack down on AI-driven consumer harms under existing law, members of the Federal Trade Commission said Tuesday.",Others
15,"Eating too much of these foods is driving the rise in type 2 diabetes, study says",https://www.cnn.com/2023/04/17/health/rise-type-2-diabetes-global-wellness/index.html,2023-04-17 16:02:46,"Gobbling up too many refined wheat and rice products, along with eating too few whole grains, is fueling the growth of new cases of type 2 diabetes worldwide, according to a new study that models data through 2018.",Others
16,ADHD medication abuse in schools is a 'wake-up call',https://www.cnn.com/2023/04/18/health/teen-misuse-adhd-meds-wellness/index.html,2023-04-25 17:44:36,"At some middle and high schools in the United States, 1 in 4 teens report they've abused prescription stimulants for attention deficit hyperactivity disorder during the year prior, a new study found.",Others
17,Apple CEO was presented with an original Macintosh. See his reaction,https://www.cnn.com/videos/tech/2023/04/18/apple-store-mumbai-india-ceo-tim-cook-vedika-sud-ovn-biz-ldn-vpx.cnn,2023-04-18 09:17:25,CEO Tim Cook personally welcomed customers to the new Apple store in Mumbai as the tech company opens its first retail stores in India. CNN's Vedika Sud reports.,Others
18,Democrats bash Justice Clarence Thomas but their plan to investigate ethics allegations is unclear,https://www.cnn.com/2023/04/18/politics/clarence-thomas-ethics-democrats/index.html,2023-04-18 20:29:46,"Senate Democrats railed against Justice Clarence Thomas on Tuesday amid reports that the Supreme Court conservative failed to disclose luxury travel, gifts and a real estate transaction involving a GOP megadonor, but their plan to investigate the conservative jurist remains unclear.",Others
19,Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine,https://www.cnn.com/2023/04/17/europe/wagner-commanders-russia-kill-children-intl-hnk/index.html,2023-04-18 19:07:52,Two Russian men who claim to be former Wagner Group commanders have told a human rights activist that they killed children and civilians during their time in Ukraine.,Others
20,'My stomach is hurting from laughing': Hear panelist's reaction to DeSantis' threat to Disney,https://www.cnn.com/videos/business/2023/04/18/desantis-disney-competition-panel-reax-pt-vpx.cnn,2023-04-18 03:24:56,CNN panelists react to Florida Gov. Ron DeSantis floating the idea of building a competing theme park next to Disney World in Orlando.,Others
21,GOP prepared to block vote to replace Feinstein on Senate Judiciary,https://www.cnn.com/2023/04/18/politics/schumer-senate-feinstein-vote-cardin/index.html,2023-04-18 22:03:13,"Senate Majority Leader Chuck Schumer said on Tuesday that he hopes to replace Democratic Sen. Dianne Feinstein on the Senate Judiciary Committee with Sen. Ben Cardin of Maryland and aims to set up a floor vote on the issue this afternoon, which Republicans are expected to block.",Others
22,Oklahoma governor calls on officials to resign over recording of racist and threatening remarks,https://www.cnn.com/2023/04/18/us/mccurtain-county-oklahoma-officials-recording/index.html,2023-04-18 17:33:17,No summary available,Others
23,McCarthy slams Biden in handling of US debt,https://www.cnn.com/videos/politics/2023/04/18/kevin-mccarthy-wall-street-speech-debt-ceiling-biden-economy-vpx.cnn,2023-04-18 22:03:01,House Speaker Kevin McCarthy traveled to Wall Street on Monday to deliver a fresh warning that the House GOP majority will refuse to lift a cap on government borrowing unless Biden agrees to spending cuts that would effectively neutralize his domestic agenda.,Others
24,US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant,https://www.cnn.com/2023/04/18/politics/us-warns-russia-zaporizhzhia-nuclear-plant/index.html,2023-04-19 08:35:33,"The US has sensitive nuclear technology at a nuclear power plant inside Ukraine and is warning Russia not to touch it, according to a letter the US Department of Energy sent to Russia's state-owned nuclear energy firm Rosatom last month.",Others
25,Repeated gunshots fired on live TV as ex-lawmaker shot by assassins,https://www.cnn.com/videos/world/2023/04/18/india-ex-lawmaker-atiq-ahmed-assassination-sud-pkg-contd-ovn-intl-hnk-vpx.cnn,2023-04-18 09:41:42,"Atiq Ahmed, a former lawmaker in India's parliament, convicted of kidnapping, was shot dead along with his brother while police were escorting them for a medical check-up in a slaying caught on live television on Saturday. CNN's Vedika Sud reports.",Others
26,FDA clears the way for additional bivalent boosters for certain vulnerable individuals,https://www.cnn.com/2023/04/18/health/fda-bivalent-booster-additional-doses/index.html,2023-04-18 15:09:15,"The U.S. Food and Drug Administration amended the terms of its emergency use authorizations for the Pfizer and Moderna bivalent vaccines on Tuesday, allowing people ages 65 and older and certain people with weakened immunity to get additional doses before this fall's vaccination campaigns.",Others
27,Maine authorities detained a person of interest after 4 people were found dead in a home and 3 others shot while driving,https://www.cnn.com/2023/04/18/us/maine-shooting-bowdoin-yarmouth/index.html,2023-04-19 01:49:51,"Maine authorities have detained a person of interest and continue to investigate after two shooting incidents that appear to be connected left at least four people dead and three others injured, state police said.",Others
28,Southwest says flights resumed after delays caused by 'tech issues',https://www.cnn.com/travel/article/southwest-airlines-flight-delays/index.html,2023-04-18 17:15:29,"• Delta Air Lines reports record bookings for summer travel
• Air France and Airbus acquitted in trial over 2009 plane crash",Others
29,Damar Hamlin cleared to resume football activities after January cardiac arrest,https://www.cnn.com/2023/04/18/sport/damar-hamlin-cleared-to-train-nfl-spt-intl/index.html,2023-04-18 22:11:37,"Buffalo Bills safety Damar Hamlin, who has been cleared to resume football activities, said Tuesday his cardiac arrest during an NFL game in January was caused by commotio cordis.",Others
30,Pilot makes history after landing on top of a 56-story hotel,https://www.cnn.com/videos/travel/2023/03/17/pilot-lands-on-dubai-helipad-cprog-orig-aw-ao.cnn,2023-03-19 11:22:30,Polish pilot Lukasz Czepiela made history after landing a plane on a helipad at the top of a 56-story hotel in Dubai.,Others
31,Top US Navy admiral defends non-binary sailor amid some Republican criticism,https://www.cnn.com/2023/04/18/politics/gilday-defends-non-binary-sailor/index.html,2023-04-18 19:56:40,"The top US Navy admiral ardently defended a non-binary sailor on Tuesday amid some criticism from Republican lawmakers, saying he is ""particularly proud of this sailor.""",Others
32,Fulton County DA says fake Trump electors are incriminating one another and wants lawyer disqualified,https://www.cnn.com/2023/04/18/politics/fulton-county-trump-fake-electors/index.html,2023-04-19 15:31:24,"The Fulton County District Attorney's office said some fake electors for Donald Trump have implicated each other in potential criminal activity and is seeking to disqualify their lawyer, according to a new court filing.",Others
33,High speed trains are racing across the world. But not in America,https://www.cnn.com/travel/article/high-speed-rail-us/index.html,2023-04-19 02:39:40,High speed trains have proved their worth across the world over the past 50 years.,Others
34,Here's what you need to know if you haven't filed your return yet — and even if you have,https://www.cnn.com/2023/04/18/success/tax-day-2023-file-irs/index.html,2023-04-18 14:15:43,"It's April 18, the official deadline to file your federal and state income tax returns for 2022. (It is also, apparently, National Animal Crackers Day for those who celebrate.)",Others
35,"Undocumented immigrants are paying their taxes today, too",https://www.cnn.com/2023/04/18/us/undocumented-immigrants-taxes-cec/index.html,2023-04-18 18:29:24,It's a surprising fact that's often overlooked in the immigration debate.,Others
